,name,tag,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,祛风,4.0,0.017263,0.030238,-0.003688,0.035764,-0.001791,-0.019862,0.063625,-0.008261,0.020845,0.056919,2.2e-05,0.003907,-0.006525,-0.026591,0.061715,0.005373,-0.029105,0.029226,-0.03645,-0.008358,-0.010315,0.091119,0.033241,0.011931,-0.022721,0.070886,0.043466,-0.024154,0.02861,-0.017926,0.002645,-0.018095,-0.014784,0.004688,-0.0004,0.009381,-0.04123,-0.042806,-0.022476,-0.032749,0.016129,0.052703,0.017794,-0.018933,-0.004673,0.020283,0.00945,-0.024867,0.054564,-0.002658,-0.036575,-0.015769,0.046559,0.017887,-0.001469,-0.001992,-0.008726,-0.036036,-0.03171,0.057911,-0.075304,0.000551,-0.013679,0.001135,0.007649,-0.010758,-0.017078,0.008201,0.055514,0.02308,-0.073513,0.02041,-0.031566,0.017443,-0.040532,-0.023301,-0.031518,-0.036015,0.023769,0.015648,0.022389,0.058303,0.044197,-0.011949,0.03122,-0.05217,-0.014045,-0.047885,0.01882,-0.060401,-0.013685,0.026817,0.004331,-0.028381,0.004212,0.004609,-0.032913,-0.05972,-0.003095,-0.053953
11,加用,4.0,0.020211,-0.003074,-0.019634,0.01143,-0.001355,-0.035076,0.024919,-0.005737,0.014681,0.014045,0.001346,0.002381,-0.012394,-0.012685,0.032575,0.008352,-0.017199,-0.015759,-0.002932,0.025888,-0.016399,0.043528,0.0174,-0.008174,-0.014556,0.037711,0.023831,0.022275,0.036542,0.010866,-0.007247,-0.018391,-0.000837,-0.011055,0.009668,-0.008868,-0.024952,-0.011385,0.011128,-0.031859,0.006029,0.015091,-0.00747,-0.015478,0.008159,0.028917,-0.002944,-0.009743,-0.005107,0.009337,0.003536,-0.011023,0.018115,0.01701,-0.00791,-0.004079,0.013824,-0.0315,-0.013005,0.028849,-0.045112,0.02399,0.00487,-0.004387,0.013396,0.004609,-0.020988,-0.0143,0.015929,0.001502,-0.011815,0.01594,0.000982,0.033869,-0.020218,-0.009529,0.011,-0.018429,0.002397,-0.005411,-0.005626,-0.003713,0.035374,0.017286,0.030915,-0.042996,-0.030992,-0.020592,0.012843,-0.036684,-0.025033,0.02494,-0.013644,-0.019327,-0.014643,0.011305,-0.010374,0.025787,-0.002518,-0.000172
12,寒湿,2.0,0.0312,0.03999,0.007502,0.042002,-0.007596,-0.015734,0.068893,0.015466,-0.016058,0.038634,-0.010679,0.009643,0.010811,-0.006575,0.057711,0.002556,-0.00716,-0.003078,-0.00582,-0.011219,-0.000778,0.073666,0.025596,-0.012035,-0.03585,0.090775,0.092682,-0.004637,0.027102,0.021388,0.018403,0.021488,-0.006892,-0.0099,-0.020668,-0.02296,-0.026645,-0.048046,-0.016229,-0.069262,0.020214,0.048431,0.021843,-0.005871,0.016448,0.048651,-0.029208,0.009626,0.054523,-0.042795,-0.042222,-0.024158,0.020647,0.041005,0.012344,0.006232,-0.005129,-0.03111,-0.0368,0.026203,-0.049886,0.015616,-0.005334,0.007181,-0.001234,0.010261,-0.038467,-0.015316,0.033679,0.024925,-0.083552,0.032511,-0.04082,0.028121,-0.032033,-0.005625,0.009291,-0.040996,-0.020236,0.052411,-0.005521,0.045263,0.041335,-0.012955,-0.002323,-0.030832,-0.020234,-0.035744,0.021603,-0.06415,0.007298,0.021234,-0.004556,-0.040752,-0.006064,0.019975,-0.038315,0.001553,0.021024,-0.019877
13,流血,3.0,0.017188,0.024235,-0.020614,0.017163,-0.016407,0.02019,0.041863,0.049017,-0.016069,0.008519,-0.000443,0.030092,0.023603,-0.013393,0.039494,0.025037,0.051288,0.003269,0.013055,0.001098,0.04254,0.036606,0.000897,-0.002456,-0.029901,0.010075,0.079538,-0.015583,-0.017422,0.005419,0.003891,0.046661,-0.033118,-0.016587,-0.018401,-0.072237,-0.01631,-0.042903,-0.03284,-0.061692,-0.027739,0.027187,0.055151,0.046571,-0.009256,0.02351,-0.01551,-0.027084,0.064828,-0.05008,-0.000273,0.004433,0.035009,0.053147,0.03117,0.027997,-0.027396,0.024499,-0.037103,-0.031884,-0.013992,-0.005328,0.002366,0.026441,0.040581,0.027219,-0.033952,-0.022501,0.034781,0.012825,-0.060409,0.031608,0.011078,0.003023,0.02181,-0.000797,-0.00602,-0.041958,-0.038011,0.066646,0.002841,0.033844,0.031884,-0.023922,-0.003127,-0.003062,0.004491,-0.058288,0.036641,-0.080727,0.022717,0.019413,0.004769,-0.029778,0.034819,0.010181,-0.051342,-0.046328,0.018775,-0.002834
14,虚劳,2.0,-0.004962,-0.070285,-0.003114,0.001072,-0.022642,-0.020939,-0.050236,-0.026799,0.01445,-0.003658,0.002811,-0.034104,-0.007225,0.059547,-0.050585,-0.047272,-0.052632,-0.031202,0.066146,0.007281,-0.040659,-0.075459,0.009273,-0.030334,0.028836,-0.017727,-0.043027,0.014982,0.026953,-0.002838,0.042987,-0.008281,0.056912,-0.036495,0.006335,0.069862,0.020783,0.069439,0.058004,0.020799,0.006881,-0.013361,-0.06476,-0.069502,0.074753,0.047184,-0.046946,0.049608,-0.050569,0.021724,0.02821,-0.021053,-0.089236,-0.006677,0.027021,-0.057399,0.095775,-0.055889,0.048094,-0.008678,0.016672,0.015411,0.010417,-0.049416,-0.062336,-0.052787,0.069919,0.026442,-0.044726,-0.000494,0.0435,-0.030175,-0.054859,0.009527,-0.041862,0.042788,0.037674,0.051559,0.046051,-0.06517,-0.005728,-0.066254,0.022379,0.047545,0.00898,0.051518,-0.039522,0.059521,-0.052272,0.097367,-0.043583,-0.005359,-0.000488,0.034005,-0.021044,-4.4e-05,0.098928,0.092057,0.016749,0.01586
15,休克,3.0,0.029428,0.050046,-0.019393,0.03334,-0.019368,0.0118,0.044526,0.015332,0.004549,0.029887,-0.003858,0.046641,-0.007612,-0.016127,0.038212,-0.039861,-0.044359,0.006964,-0.021658,-0.017252,0.004898,0.073815,0.027406,0.011111,-0.044272,0.034575,0.020544,-0.020478,0.028207,-0.014349,-0.012253,0.003165,-0.003295,-0.046844,-0.017047,0.010688,-0.042323,-0.00311,-0.014659,-0.048685,0.01429,0.031338,0.016342,-0.022653,0.00086,0.035686,-0.010223,-0.017665,0.039361,-0.035519,-0.032355,-0.024252,0.04151,0.019385,-0.005028,-0.024611,-0.006725,-0.021613,-0.019934,0.014617,-0.06102,0.003538,-0.012344,0.026653,-0.013805,-0.038359,0.002576,0.029083,0.046413,-0.005712,-0.075826,0.021953,-0.017704,0.013801,-0.024647,-0.016443,-0.025167,-0.027824,0.011228,0.026983,-0.010249,0.021841,0.017531,-0.030133,0.002507,-0.028274,-0.015257,-0.052122,0.015176,-0.047112,-0.018775,0.041612,0.010096,0.016905,-0.014579,-0.003512,-0.038958,-0.073602,-0.007216,-0.010294
16,川楝,4.0,0.052778,-0.021954,-0.043838,0.022363,0.011457,-0.115067,0.113928,-0.096082,0.084833,0.089173,0.041791,-0.085335,-0.009852,-0.021619,0.063758,-0.00777,-0.106506,-0.010465,-0.035662,0.105922,-0.086424,0.128819,0.12102,-0.00103,-0.057795,0.048373,0.019928,-0.042891,0.077815,-0.024428,0.13827,-0.126838,-0.000507,0.002555,0.034357,0.065776,-0.020799,0.008607,0.008173,-0.071087,0.08706,0.072658,0.003555,-0.062508,0.023827,0.074974,-0.036272,0.036856,0.053773,0.058559,0.053869,-0.060231,-0.025245,0.084994,0.054718,-0.093809,0.151302,-0.111255,0.011722,0.089121,-0.142687,0.016016,-0.046522,0.074896,-0.044183,-0.027107,-0.047747,0.003575,0.108361,0.096409,-0.079916,0.027651,-0.088263,0.086458,-0.14738,-0.025319,-0.001737,-0.093512,0.042183,0.048814,-0.00149,0.006032,0.118702,0.165346,0.135121,-0.118494,-0.040985,0.005657,0.030197,-0.025934,-0.086222,0.048903,-0.070793,-0.06805,0.012837,0.044194,0.005787,0.025535,-0.034245,0.082844
17,烧山火,4.0,-0.014433,-0.035892,0.003451,0.055718,-0.024825,-0.036272,0.009603,-0.01519,0.00761,0.017507,-0.031168,-0.031847,-0.005392,0.02617,-0.015211,-0.023678,-0.014866,0.040273,0.000905,-0.054886,-0.015382,-0.03202,-0.000388,0.008976,0.015737,0.050874,0.024143,-0.018447,0.022206,0.020272,0.026607,0.070516,0.046142,-0.026516,-0.015532,0.058995,0.005452,-0.022554,-0.009698,-0.002049,0.015478,0.020206,-0.029471,-0.04967,0.063779,0.059822,-0.016612,0.043498,-0.00494,0.031349,-0.033492,-0.021712,-0.072849,0.015853,0.012856,-0.030965,0.04867,-0.045663,-0.011582,-0.0221,0.016344,0.022493,0.020653,-0.048136,-0.030537,-0.037738,0.02504,0.044344,0.004685,0.035511,0.002267,0.024471,-0.080866,-0.001807,-0.031392,0.020485,0.028391,0.046028,0.009865,-0.004384,0.002449,0.019278,0.019973,-0.044724,-0.004558,0.012989,-0.017877,0.012114,-0.027138,0.032546,-0.033806,-0.032932,-0.000685,-0.011427,-0.032914,0.007348,0.021927,0.03676,0.026626,-0.038802
18,锻炼,4.0,-0.005957,0.04749,0.036533,-0.043304,-0.007684,0.040155,-0.033192,0.016627,-0.030127,-0.041993,0.006693,0.031916,0.00134,0.011115,-0.037194,-0.034779,0.020378,-0.046077,0.010497,-0.000297,-0.012858,-0.024167,-0.019742,-0.003446,0.027597,-0.0368,-0.042971,0.036281,-0.024679,0.019606,-0.048011,-0.018451,0.001304,0.038457,0.027384,0.010063,0.034286,0.08078,0.044147,0.017261,-0.014368,-0.023438,0.011556,0.059527,-0.053794,-0.04686,-0.002452,-0.024749,-0.040172,-0.046726,-0.047181,-0.000871,0.039707,-0.058458,-0.072955,0.030918,-0.052306,0.031579,0.009379,0.012257,0.022029,-0.010666,-0.029542,0.01796,-0.014301,-0.00645,-0.015223,-0.003611,-0.013588,-0.03488,0.000468,0.011154,0.029629,-0.050534,0.032839,0.030559,0.010847,-0.041135,-0.064041,-0.002342,-0.023246,-0.001563,-0.069802,-0.045058,-0.037679,0.023099,0.001193,0.02272,-0.043428,0.020099,0.011753,0.00051,-0.007419,0.034914,-0.059418,-0.03248,-0.029704,-0.001416,-0.042397,0.02436
19,捻转,4.0,-0.021802,-0.052261,0.010376,0.046093,-0.056167,-0.032156,-0.008195,-0.019439,-0.00757,0.024901,-0.050711,-0.03758,0.008933,0.029246,-0.028733,-0.077726,-0.029498,0.022616,0.012792,-0.053696,-0.042682,-0.064699,0.027107,-0.00451,0.029071,0.085727,0.026337,-0.056523,0.045609,0.040752,0.063028,0.070583,0.076476,-8.7e-05,-0.023328,0.102048,0.020478,0.004444,0.000652,0.007653,0.024547,0.006174,-0.051364,-0.073047,0.081759,0.076006,-0.036144,0.048175,-0.021085,0.031439,-0.049375,-0.047616,-0.088344,0.024321,0.026367,-0.047466,0.078232,-0.076782,-0.012019,0.01,-0.018246,0.017196,-0.004149,-0.061369,-0.083286,-0.061146,0.034943,0.040151,0.009513,0.062266,0.003971,0.039212,-0.105469,0.017573,-0.048787,0.01176,0.031553,0.029867,0.005191,-0.001726,0.032845,0.028826,0.019129,-0.032512,0.00521,0.010432,-0.03488,0.014947,-0.056284,0.05986,-0.030986,-0.036306,-0.009276,0.003548,-0.041444,-0.001163,0.028933,0.055419,0.020681,-0.065625
